source,checked_date,extension_identifier,msft_classification_type,exists_in_dataset
removed_list,2025-09-21,Puglight.realmvvscode,Malware,yes
removed_list,2025-09-21,Puglight.shadowcore,Malware,yes
removed_list,2025-09-21,Puglight.vulnerabilitto,Malware,yes
removed_list,2025-09-21,VSAnalysistest.codegpt-helper,Malware,yes
removed_list,2025-09-21,VSAnalysistest.code-ai-assistant,Malware,yes
removed_list,2025-09-21,ahbanC.shiba,Malware,yes
removed_list,2025-09-21,GavinLamWood.vs-blanket,Malware,yes
removed_list,2025-09-21,EtherFoundation.vs-ranket,Malware,yes
removed_list,2025-09-21,hajoo.poisoned-extension,Untrustworthy,yes
removed_list,2025-09-21,JacobETH.solidi,Malware,yes
removed_list,2025-09-21,JuanRiseETH.solidit,Malware,yes
removed_list,2025-09-21,CSF-RED.CSF-RED,Malware,yes
removed_list,2025-09-21,Zeron1337.Zeron-CySec,Malware,yes
removed_list,2025-09-21,seHunt-20241016.seHunt-20241016,Malware,yes
removed_list,2025-09-21,NotToTest.NotToTest,Malware,yes
removed_list,2025-09-21,takuanporipori.pixelpress,Untrustworthy,no
removed_list,2025-09-21,JuanFlanco.Soquidity,Malware,yes
removed_list,2025-09-21,YogevAvitan.codeivri-vscode,Malware,yes
removed_list,2025-09-21,MediaLLC.solidyy,Malware,no
removed_list,2025-09-21,DaveWeb3.choccie,Malware,no
removed_list,2025-09-21,DanielBlockchain.chocosnack,Malware,no
removed_list,2025-09-21,KomaKamaki.vscode-api-client-lite,Typo-squatting,yes
removed_list,2025-09-21,jsayol.firebase-explorer,Copyright violation,yes
removed_list,2025-09-21,JohnAaronNelson.ForceCode,Copyright violation,yes
removed_list,2025-09-21,JohnAaronNelson.visualforce,Copyright violation,yes
removed_list,2025-09-21,kast789.visual-studio-2022-theme,Copyright violation,yes
removed_list,2025-09-21,spmeesseman.vscode-vslauncher,Copyright violation,yes
removed_list,2025-09-21,vfd.vs2017-light-theme,Copyright violation,yes
removed_list,2025-09-21,kast789.vs-2019-theme,Copyright violation,yes
removed_list,2025-09-21,jamiewest.theme-light-vs-mac,Copyright violation,yes
removed_list,2025-09-21,OfekBickel.wpp,Malware,yes
removed_list,2025-09-21,bysabi.prettier-vscode-semistandard,Typo-squatting,yes
removed_list,2025-09-21,bysabi.prettier-vscode-standard,Typo-squatting,yes
removed_list,2025-09-21,Shunqian.prettier-plus,Typo-squatting,yes
removed_list,2025-09-21,remimarsal.prettier-now,Typo-squatting,yes
removed_list,2025-09-21,iSayme.vscode-prettier-standard,Typo-squatting,yes
removed_list,2025-09-21,jishutuan.prettier-vscode,Typo-squatting,yes
removed_list,2025-09-21,jameszhanga.even-prettier,Typo-squatting,yes
removed_list,2025-09-21,kaijialin.pvts,Typo-squatting,yes
removed_list,2025-09-21,lakshits11.fresh-material-theme,Copyright violation,yes
removed_list,2025-09-21,jRichardeau.vscode-vsproj,Copyright violation,yes
removed_list,2025-09-21,ShayanAhmedKhan.visual-studio-themes,Copyright violation,yes
removed_list,2025-09-21,Smartie.hacknet-vscode,Copyright violation,yes
removed_list,2025-09-21,abhiagr.livs,Copyright violation,yes
removed_list,2025-09-21,azure-dev.azure-cli-helper,Copyright violation,yes
removed_list,2025-09-21,v-test-publisher.vscode-azure-functions-remote-web-test,Copyright violation,yes
removed_list,2025-09-21,DylanRampage.prettier-optimized,Typo-squatting,yes
