captured_date,source,msft_classification_type,extension_identifier,publisher_name,version,artifact,sha256,size_mb,published_date,last_updated_date,verified_publisher,installation_count,average_rating,rating_count,categories,repository_url,flags,engines_vscode,exists_in_dataset
2025-09-03,removed_list,Malware,webctrl.live,webctrl,0.0.1,webctrl.live-0.0.1.vsix,6bb09519315747b2ab9d7adaa38a3f4204cde80f30f2ae26d51c682ebcad5351,0.01,2024-05-20,2024-05-20,false,15,null,null,Other,none,validated;public,^1.89.0,vsmex
2025-09-25,malicious_list,Malicious,xiejiangzhi.linter-xjz,xiejiangzhi,0.0.15,xiejiangzhi.linter-xjz-0.0.15.vsix,e1a9ca92d1300f343f4baa6e8f783bc6ca9fbc229880ae2e5dd7cee12e0b56b9,1.11,2022-05-25,unknown,unknown,2610,4.4,1,Linters,https://github.com/xiejiangzhi/vscode-linter,unknown,^1.57.0,RL
2025-09-25,malicious_list,Malicious,xueshufive.jrkf-console,xueshufive,2.0.2,xueshufive.jrkf-console-2.0.2.vsix,3c266881868775ff1e4e77692ac99d5b9bd6d1de1b5829308f7c6f4616b485fa,0.10,2024-11-30,unknown,unknown,5,4.4,1,Other,none,unknown,^1.50.0,RL
2025-09-25,malicious_list,Malicious,xuyanfeng.addr2line-assistant,xuyanfeng,0.0.14,xuyanfeng.addr2line-assistant-0.0.14.vsix,d698092b6a7b69ede4911b2f61fee0d23350ab9a9d6f3e2f4c30a3250554d64b,33.73,2024-07-23,unknown,unknown,101,4.4,1,Other,none,unknown,^1.77.1,RL
2025-09-25,removed_list,Malware,YogevAvitan.codeivri-vscode,YogevAvitan,0.0.5,YogevAvitan.codeivri-vscode-0.0.5.vsix,f9c0ba413387bed5e8726f84bd82c814c052111ccea61e19c2f1012e7605d3d1,0.04,2025-05-16,unknown,unknown,2,0,0,Programming Languages,https://github.com/itadmit/codeivri,unknown,^1.60.0,RL
2025-09-25,removed_list,Impersonation,YuTengjing.vscode-colorize-plus,YuTengjing,0.12.13,YuTengjing.vscode-colorize-plus-0.12.13.vsix,22e529b40c111df3d9190d722d40fe8f3ea002578fd4521fb454d8379ac28a9a,0.04,2023-07-01,unknown,unknown,38500,3.8,5,Other,https://github.com/tjx666/vscode-colorize,unknown,^1.79.1,RL
2025-09-25,removed_list,Malware,Zeron1337.Zeron-CySec,Zeron1337,0.0.1,Zeron1337.Zeron-CySec-0.0.1.vsix,abd87cc193e6ee4150aa916288f84408c5e444931264d78be2e4b6c6f0b1b9d1,0.01,2024-12-01,unknown,unknown,5,4.4,1,Other,none,unknown,^1.91.0,RL
2025-09-03,removed_list,Impersonation,zhucan.debug-cline,zhucan,3.0.12,zhucan.debug-cline-3.0.12.vsix,b0c29c6387fa6eb4272f2fdf591eebbb11048ca8b630715c6e901ac98401559c,5.63,2025-01-07,2025-01-07,false,75707,1,5,Programming Languages;Snippets;Education;Testing;AI;Chat,https://github.com/cline/cline.git,validated;public,^1.84.0,vsmex
2025-09-25,malicious_list,Malicious,ZoomINC.Zoom-Workplace,ZoomINC,0.2.0,ZoomINC.Zoom-Workplace-0.2.0.vsix,64e2ee747783e91079589e5a1ed4e0069bbd4f43be27021f458f42aa08d4d676,0.03,2024-11-01,unknown,unknown,976200,4.4,1,Other,none,unknown,>=1.70.0,RL
2025-09-25,malicious_list,Malicious,ZoomVideoCommunications.Zoom,ZoomVideoCommunications,0.2.0,ZoomVideoCommunications.Zoom-0.2.0.vsix,252e2e8c85db0d05bc619527e2efa09c3aa31345809f236f1353a59dfc265690,0.03,2024-11-04,unknown,unknown,2000000,4.6,5,Other,none,unknown,>=1.70.0,RL
